Name,Link,Latitude,Longitude
Cairn Gorm e i Northern Corries,https://www.pick-a-trek.it/sentieri/2019-08-20-Cairn_Gorm_and_the_northern_corries/,57.116769,-3.6444857
WHW/T7 Da Kinlochleven a Fort William,https://www.pick-a-trek.it/sentieri/2019-08-18-Da_Kinlochleven_a_Fort_William/,56.7142979,-4.9647756
WHW/T6 Da Kingshouse a Kinlochleven,https://www.pick-a-trek.it/sentieri/2019-08-17-Da_Kingshouse_a_Kinlochleven/,56.651461,-4.8412964
WHW/T5 Da Tyndrum a Kingshouse,https://www.pick-a-trek.it/sentieri/2019-08-16-Da_Tyndrum_a_Kingshouse/,56.4359066,-4.711694
WHW/T4 Da Inverarnan a Tyndrum,https://www.pick-a-trek.it/sentieri/2019-08-15-Da_Inverarnan_a_Tyndrum/,56.3281753,-4.7228748
WHW/T3 Da Rowardennan a Inverarnan,https://www.pick-a-trek.it/sentieri/2019-08-14-Da_Rowardennan_a_Inverarnan/,56.1504308,-4.6410702
WHW/T2 Da Drymen a Rowardennan,https://www.pick-a-trek.it/sentieri/2019-08-13-Da_Drymen_a_Rowardennan/,56.0651682,-4.4534365
WHW/T1 Da Milngavie a Drymen,https://www.pick-a-trek.it/sentieri/2019-08-12-Da_Milngavie_a_Drymen/,55.9410791,-4.3178027
HWP/T8 Da Easton a Bowness on Solway,https://www.pick-a-trek.it/sentieri/2018-08-21-Stage_8_Da_Easton_a_Bowness_on_Solway/,54.926408,-3.1491328
HWP/T7 Da Park Broom a Easton,https://www.pick-a-trek.it/sentieri/2018-08-20-Stage_7_Da_Park_Broom_a_Easton/,54.9276058,-2.8644896
HWP/T6 Da Gilsland a Park Broom,https://www.pick-a-trek.it/sentieri/2018-08-19-Stage_6_Da_Gilsland_a_Park_Broom/,54.9920209,-2.5729406
HWP/T5 Da Once Brewed a Gilsland,https://www.pick-a-trek.it/sentieri/2018-08-18-Stage_5_Da_Once_Brewed_a_Gilsland/,54.9962756,-2.3893788
HWP/T4 Da Wall a Once Brewed,https://www.pick-a-trek.it/sentieri/2018-08-17-Stage_4_Da_Wall_a_Once_Brewed/,55.031116,-2.1283485
HWP/T3 Da Wylam a Wall,https://www.pick-a-trek.it/sentieri/2018-08-16-Stage_3_Da_Wylam_a_Wall/,54.9808661,-1.819597
HWP/T2 Da Newcastle Central Station a Wylan,https://www.pick-a-trek.it/sentieri/2018-08-15-Stage_2_Da_Newcastle_Central_Station_a_Wylan/,54.9689705,-1.6176476
HWP/T1: Da South Shield a Newcastle Central Station,https://www.pick-a-trek.it/sentieri/2018-08-14-Stage_1_Da_South_Shield_a_Newcastle_Central_Station/,54.9757853,-1.5979321
